name,real_age,faceapi_age,dif
JamesMcAvoy,40,38,-2
ChrisHemsworth,36,33,-3
ChrisPine,39,33,-6
ChrisEvans,38,30,-8
TroyBaker,43,34,-9
SebastianStan,37,32,-5
HughDancy,44,33,-11
TylerHoechlin,32,34,2
PaulWesley,37,30,-7
JosephMorgan,38,31,-7
LoganLerman,27,26,-1
ColtonHaynes,31,30,-1
GabrielMann,47,30,-17
JRBourne,49,43,-6
DanielGillies,43,36,-7
AndrewGarfield,36,34,-2
RobertDowneyJr.,54,46,-8
DanielRadcliffe,30,30,0
StevenR.McQueen,31,26,-5
JaredPadalecki,37,33,-4
MishaCollins,45,34,-11
MarkSheppard,55,37,-18
NickWechsler,41,36,-5
MattDallas,37,25,-12
MichaelFassbender,42,37,-5
AaronTveit,36,28,-8
KitHarington,33,30,-3
PeterDinklage,50,44,-6
IanBohen,43,38,-5
MaxThieriot,31,32,1
LeePace,40,29,-11
JohnBarrowman,52,37,-15
RyanGosling,39,36,-3
RyanReynolds,43,33,-10
HughJackman,51,40,-11
MattSmith,37,36,-1
TomMison,37,32,-5
DylanSprayberry,21,27,6
GrantGustin,29,31,2
EvanPeters,32,29,-3
ColinFord,23,24,1
SkylarAstin,32,30,-2
NickOfferman,49,50,1
ChanningTatum,39,31,-8
NickFrost,47,37,-10
SteveCarell,57,47,-10
EzraMiller,27,23,-4
TorranceCoombs,36,30,-6
CaryElwes,57,36,-21
JohnCorbett,58,39,-19
LucasGrabeel,35,23,-12
BrentonThwaites,30,25,-5
NatWolff,25,29,4
MilesTeller,32,31,-1
EdHelms,45,44,-1
JoelMcHale,48,34,-14
MattRyan,38,40,2
JackFalahee,30,31,1
MattMcGorry,33,30,-3
