Mónica Cruz,26.0
Yuliya Volkova,27.0
Jonah Hill,33.0
Jayden Jaymes,29.0
Ivyann Schwan,26.0
Eleni Menegaki,37.0
Dana Barron,34.0
Dakota Johnson,29.0
Catrinel Marlon,31.0
Carole King,51.0
Ashley Roberts,25.0
Yelena Isinbayeva,28.0
Tom Sturridge,24.0
Sue Ane Langdon,31.0
Patrick John Flueger,33.0
Nancy Ajram,32.0
Erin Brown,22.0
Meadow Sisto,32.0
Maria Kanellis,31.0
Luke Benward,32.0
Luciana Salazar,29.0
Lisa Eilbacher,31.0
Krystal Forscutt,28.0
Kelly Overton,26.0
Katheryn Winnick,29.0
Katherine Jenkins,28.0
Joanne Kelly,31.0
Jeffrey Donovan,35.0
Erin Sanders,24.0
Emilia Attías,26.0
Cintia Dicker,29.0
Betsy Russell,31.0
Simmone Mackinnon,31.0
Kelly Reilly,30.0
Katelyn Tarver,20.0
Justin Chatwin,34.0
Jesse Eisenberg,30.0
Gaspard Ulliel,31.0
Danielle Lloyd,30.0
Anne Vyalitsyna,23.0
Anna Semenovich,28.0
Daniella Sarahyba,33.0
Anne Murray,49.0
Debbie Harry,28.0
Alena Seredova,27.0
Mark Feehily,30.0
Helena Paparizou,33.0
Alina Vacariu,22.0
Aarón Díaz,31.0
Marion Cotillard,32.0
Izabel Goulart,29.0
Alicia Machado,30.0
Boy George,44.0
Karen Steele,30.0
Jason Earles,24.0
Brendon Urie,29.0
Ashlynn Brooke,22.0
Patricia Blair,33.0
Alektra Blue,35.0
Jayanna Howeton,36.0
Sara Varone,32.0
Kevin Jonas,29.0
Sarah Roemer,31.0
Pam Courson,26.0
Zachary Quinto,33.0
Sebastian Bach,30.0
Leland Chapman,31.0
Linda Cristal,30.0
Danneel Ackles,31.0
Emily Scott,28.0
AJ Michalka,25.0
Chanelle Hayes,32.0
Kimberly Wyatt,24.0
Frances Bean Cobain,27.0
Dougie Poynter,27.0
Jeffrey Dean Morgan,51.0
